height,weight,label
142,48,정상체중
173,41,저체중
120,56,비만
182,39,저체중
155,38,저체중
195,64,저체중
162,37,저체중
145,79,비만
180,66,정상체중
189,79,정상체중
169,55,정상체중
155,44,저체중
185,71,정상체중
125,80,비만
127,50,비만
159,60,정상체중
155,55,정상체중
147,78,비만
138,44,정상체중
171,68,정상체중
159,59,정상체중
153,60,비만
182,51,저체중
140,80,비만
136,55,비만
173,40,저체중
167,79,비만
137,56,비만
193,62,저체중
158,62,정상체중
152,45,정상체중
192,54,저체중
177,73,정상체중
123,53,비만
147,66,비만
135,52,비만
123,47,비만
122,59,비만
198,60,저체중
147,36,저체중
184,75,정상체중
135,65,비만
151,39,저체중
177,57,저체중
173,70,정상체중
141,44,정상체중
194,70,정상체중
162,51,정상체중
127,55,비만
164,79,비만
138,59,비만
187,64,저체중
153,60,비만
133,40,정상체중
191,40,저체중
169,39,저체중
169,38,저체중
187,68,정상체중
137,76,비만
124,38,정상체중
194,47,저체중
180,45,저체중
135,80,비만
137,54,비만
135,43,정상체중
154,61,비만
154,61,비만
149,64,비만
143,64,비만
143,75,비만
159,54,정상체중
196,73,정상체중
124,38,정상체중
130,77,비만
162,73,비만
163,48,저체중
123,38,비만
192,45,저체중
134,69,비만
189,35,저체중
120,37,비만
137,36,정상체중
152,78,비만
121,52,비만
193,80,정상체중
136,37,정상체중
180,49,저체중
120,43,비만
180,49,저체중
153,57,정상체중
154,63,비만
121,36,정상체중
161,37,저체중
129,60,비만
141,64,비만
172,77,비만
158,67,비만
130,46,비만
191,72,정상체중
189,59,저체중
172,50,저체중
171,56,정상체중
130,64,비만
156,68,비만
149,59,비만
125,35,정상체중
167,68,정상체중
120,56,비만
120,51,비만
166,62,정상체중
140,57,비만
135,75,비만
157,36,저체중
149,64,비만
191,72,정상체중
125,47,비만
124,75,비만
174,47,저체중
174,67,정상체중
189,65,저체중
150,74,비만
130,80,비만
158,63,비만
159,74,비만
122,46,비만
173,42,저체중
124,36,정상체중
161,37,저체중
155,75,비만
140,65,비만
185,70,정상체중
157,67,비만
127,47,비만
164,38,저체중
155,44,저체중
152,45,정상체중
192,44,저체중
167,73,비만
200,65,저체중
125,44,비만
182,79,정상체중
124,42,비만
147,49,정상체중
159,40,저체중
143,59,비만
125,63,비만
165,40,저체중
199,51,저체중
190,56,저체중
147,71,비만
126,72,비만
173,51,저체중
137,76,비만
128,67,비만
141,56,비만
157,53,정상체중
157,44,저체중
164,58,정상체중
193,77,정상체중
156,37,저체중
152,37,저체중
162,52,정상체중
177,79,비만
146,60,비만
176,37,저체중
127,52,비만
179,79,정상체중
184,51,저체중
160,39,저체중
176,42,저체중
137,48,비만
139,78,비만
187,42,저체중
166,39,저체중
123,53,비만
142,73,비만
155,79,비만
133,63,비만
145,36,저체중
135,44,정상체중
141,43,정상체중
123,41,비만
180,50,저체중
148,77,비만
176,68,정상체중
142,53,비만
144,74,비만
181,45,저체중
181,36,저체중
189,48,저체중
170,65,정상체중
139,67,비만
157,70,비만
122,48,비만
181,63,정상체중
155,67,비만
190,56,저체중
131,40,정상체중
142,74,비만
161,71,비만
170,68,정상체중
121,79,비만
190,38,저체중
147,46,정상체중
120,56,비만
178,39,저체중
173,37,저체중
159,73,비만
187,78,정상체중
153,59,비만
185,63,저체중
167,52,정상체중
154,73,비만
156,42,저체중
191,53,저체중
200,78,정상체중
143,51,정상체중
148,78,비만
168,73,비만
157,70,비만
162,52,정상체중
157,57,정상체중
122,35,정상체중
120,47,비만
180,70,정상체중
145,63,비만
150,62,비만
173,48,저체중
154,37,저체중
129,67,비만
129,39,정상체중
142,51,비만
189,69,정상체중
181,45,저체중
186,75,정상체중
130,68,비만
167,53,정상체중
183,57,저체중
142,61,비만
185,61,저체중
174,52,저체중
180,49,저체중
176,80,비만
125,74,비만
169,45,저체중
146,63,비만
190,73,정상체중
158,59,정상체중
196,58,저체중
196,60,저체중
137,71,비만
154,79,비만
140,47,정상체중
183,49,저체중
193,75,정상체중
152,47,정상체중
152,64,비만
137,43,정상체중
199,76,정상체중
127,71,비만
176,41,저체중
151,46,정상체중
190,67,정상체중
143,43,정상체중
132,57,비만
176,72,정상체중
187,57,저체중
198,51,저체중
146,62,비만
170,41,저체중
159,78,비만
152,73,비만
196,37,저체중
200,43,저체중
167,63,정상체중
162,46,저체중
179,52,저체중
130,40,정상체중
163,76,비만
141,61,비만
154,75,비만
164,45,저체중
199,57,저체중
197,54,저체중
186,75,정상체중
180,39,저체중
179,39,저체중
131,45,비만
135,73,비만
181,51,저체중
161,45,저체중
190,68,정상체중
195,54,저체중
123,42,비만
132,79,비만
156,42,저체중
183,38,저체중
147,71,비만
156,59,정상체중
138,72,비만
157,62,비만
129,39,정상체중
180,59,저체중
165,73,비만
196,72,정상체중
142,52,비만
200,39,저체중
128,73,비만
186,78,정상체중
130,40,정상체중
198,56,저체중
139,72,비만
188,38,저체중
150,49,정상체중
172,73,정상체중
195,66,저체중
182,43,저체중
200,47,저체중
189,51,저체중
183,52,저체중
120,67,비만
155,71,비만
134,60,비만
193,49,저체중
146,46,정상체중
176,37,저체중
121,56,비만
196,72,정상체중
146,78,비만
143,58,비만
187,36,저체중
173,39,저체중
181,42,저체중
165,66,정상체중
123,67,비만
178,38,저체중
184,52,저체중
136,46,정상체중
120,54,비만
153,78,비만
150,54,정상체중
155,38,저체중
145,46,정상체중
129,39,정상체중
137,61,비만
159,44,저체중
135,63,비만
166,49,저체중
194,46,저체중
137,65,비만
131,50,비만
143,79,비만
184,73,정상체중
171,54,저체중
198,60,저체중
128,56,비만
186,53,저체중
130,74,비만
126,38,정상체중
160,60,정상체중
193,48,저체중
182,67,정상체중
179,56,저체중
131,42,정상체중
189,65,저체중
139,36,정상체중
144,49,정상체중
188,35,저체중
160,73,비만
140,46,정상체중
124,63,비만
153,38,저체중
199,48,저체중
177,79,비만
123,60,비만
186,55,저체중
164,64,정상체중
166,46,저체중
133,60,비만
131,40,정상체중
195,38,저체중
164,72,비만
137,46,정상체중
141,53,비만
146,36,저체중
185,63,저체중
142,74,비만
171,62,정상체중
200,75,정상체중
163,48,저체중
120,69,비만
185,53,저체중
188,59,저체중
145,52,정상체중
159,51,정상체중
195,69,저체중
185,38,저체중
159,59,정상체중
198,49,저체중
146,41,정상체중
132,54,비만
155,61,비만
184,58,저체중
164,73,비만
126,70,비만
162,38,저체중
141,51,비만
175,63,정상체중
178,56,저체중
152,49,정상체중
129,46,비만
145,41,정상체중
164,80,비만
139,77,비만
180,66,정상체중
163,55,정상체중
185,52,저체중
162,68,비만
127,43,비만
177,37,저체중
157,47,정상체중
140,77,비만
152,62,비만
194,55,저체중
179,37,저체중
166,41,저체중
183,44,저체중
186,64,저체중
170,39,저체중
134,51,비만
141,71,비만
158,59,정상체중
159,54,정상체중
144,64,비만
158,71,비만
145,60,비만
151,75,비만
125,51,비만
187,38,저체중
179,39,저체중
128,38,정상체중
197,51,저체중
127,36,정상체중
145,66,비만
168,54,정상체중
143,66,비만
149,48,정상체중
187,71,정상체중
173,38,저체중
184,75,정상체중
136,36,정상체중
144,78,비만
170,43,저체중
150,55,정상체중
161,76,비만
127,35,정상체중
174,61,정상체중
163,49,저체중
131,57,비만
183,54,저체중
146,74,비만
162,78,비만
126,55,비만
128,47,비만
165,66,정상체중
161,53,정상체중
126,67,비만
188,48,저체중
198,70,저체중
131,55,비만
163,41,저체중
181,80,정상체중
162,35,저체중
157,41,저체중
151,73,비만
165,79,비만
178,43,저체중
133,59,비만
159,50,정상체중
198,47,저체중
183,66,정상체중
179,39,저체중
168,48,저체중
194,79,정상체중
193,70,정상체중
165,67,정상체중
183,37,저체중
192,63,저체중
159,66,비만
136,52,비만
157,76,비만
144,61,비만
158,68,비만
183,35,저체중
183,49,저체중
193,54,저체중
130,74,비만
175,44,저체중
141,73,비만
171,41,저체중
148,57,비만
158,64,비만
132,77,비만
186,44,저체중
152,37,저체중
124,45,비만
159,54,정상체중
191,38,저체중
126,36,정상체중
160,73,비만
149,36,저체중
133,67,비만
128,39,정상체중
179,54,저체중
159,57,정상체중
156,74,비만
170,36,저체중
158,48,정상체중
183,56,저체중
149,45,정상체중
122,35,정상체중
173,41,저체중
159,59,정상체중
197,47,저체중
133,63,비만
195,67,저체중
163,73,비만
138,51,비만
185,58,저체중
127,36,정상체중
170,52,저체중
122,76,비만
176,58,정상체중
126,43,비만
168,73,비만
190,47,저체중
149,38,저체중
166,65,정상체중
143,75,비만
137,70,비만
141,69,비만
132,39,정상체중
152,40,저체중
155,44,저체중
122,60,비만
186,77,정상체중
149,36,저체중
176,71,정상체중
144,39,정상체중
178,78,정상체중
131,45,비만
188,52,저체중
130,80,비만
179,75,정상체중
120,35,정상체중
161,58,정상체중
157,37,저체중
153,57,정상체중
188,55,저체중
170,71,정상체중
194,49,저체중
150,62,비만
144,72,비만
135,44,정상체중
186,40,저체중
176,53,저체중
166,65,정상체중
183,50,저체중
145,78,비만
187,36,저체중
199,77,정상체중
121,47,비만
137,69,비만
188,74,정상체중
165,76,비만
181,41,저체중
136,41,정상체중
189,78,정상체중
198,79,정상체중
177,37,저체중
145,66,비만
125,80,비만
155,38,저체중
187,53,저체중
142,40,정상체중
185,67,정상체중
198,41,저체중
195,38,저체중
131,48,비만
184,47,저체중
135,63,비만
183,70,정상체중
165,65,정상체중
146,73,비만
175,39,저체중
128,63,비만
174,38,저체중
162,48,저체중
128,40,정상체중
192,39,저체중
122,65,비만
152,68,비만
177,51,저체중
153,39,저체중
130,79,비만
128,74,비만
129,38,정상체중
188,70,정상체중
170,79,비만
196,69,저체중
152,52,정상체중
121,66,비만
195,66,저체중
148,77,비만
156,38,저체중
132,73,비만
200,77,정상체중
172,68,정상체중
191,68,정상체중
197,66,저체중
172,64,정상체중
175,69,정상체중
172,75,비만
120,68,비만
171,54,저체중
140,43,정상체중
174,45,저체중
159,69,비만
134,42,정상체중
190,75,정상체중
184,69,정상체중
180,42,저체중
196,44,저체중
134,72,비만
190,74,정상체중
138,79,비만
124,68,비만
191,61,저체중
194,71,정상체중
164,49,저체중
142,56,비만
189,38,저체중
199,37,저체중
153,49,정상체중
124,76,비만
172,54,저체중
165,35,저체중
125,65,비만
120,50,비만
141,72,비만
131,62,비만
159,37,저체중
199,66,저체중
181,50,저체중
162,63,정상체중
156,46,정상체중
148,40,저체중
162,54,정상체중
126,80,비만
130,46,비만
197,77,정상체중
135,43,정상체중
166,71,비만
137,70,비만
190,55,저체중
176,53,저체중
155,66,비만
193,44,저체중
178,45,저체중
162,79,비만
141,56,비만
174,70,정상체중
173,39,저체중
196,64,저체중
196,47,저체중
197,63,저체중
160,70,비만
170,70,정상체중
161,68,비만
126,61,비만
165,48,저체중
190,41,저체중
148,36,저체중
181,37,저체중
193,76,정상체중
168,71,비만
189,47,저체중
162,59,정상체중
179,49,저체중
127,59,비만
145,74,비만
177,45,저체중
136,52,비만
177,51,저체중
170,38,저체중
136,53,비만
157,71,비만
140,80,비만
144,64,비만
141,44,정상체중
182,75,정상체중
190,59,저체중
153,61,비만
174,79,비만
182,74,정상체중
154,63,비만
130,38,정상체중
139,45,정상체중
134,50,비만
197,35,저체중
198,40,저체중
127,64,비만
156,58,정상체중
152,36,저체중
185,68,정상체중
123,67,비만
138,72,비만
200,56,저체중
122,38,비만
130,74,비만
154,65,비만
184,63,정상체중
135,38,정상체중
186,64,저체중
158,75,비만
137,71,비만
188,78,정상체중
134,44,정상체중
156,70,비만
131,71,비만
171,42,저체중
125,70,비만
127,72,비만
188,60,저체중
169,50,저체중
173,57,정상체중
133,45,비만
149,68,비만
150,40,저체중
184,79,정상체중
137,79,비만
134,68,비만
142,60,비만
134,58,비만
120,46,비만
166,52,정상체중
145,52,정상체중
172,47,저체중
163,59,정상체중
178,37,저체중
126,68,비만
131,35,정상체중
180,49,저체중
170,71,정상체중
163,75,비만
125,61,비만
183,60,저체중
132,59,비만
174,59,정상체중
131,69,비만
122,66,비만
173,77,비만
191,38,저체중
174,53,저체중
140,57,비만
193,43,저체중
155,72,비만
154,71,비만
131,51,비만
162,47,저체중
159,35,저체중
198,70,저체중
185,35,저체중
169,59,정상체중
172,74,비만
136,80,비만
129,62,비만
193,78,정상체중
126,74,비만
158,80,비만
155,77,비만
144,64,비만
157,65,비만
162,71,비만
157,64,비만
125,54,비만
135,74,비만
171,38,저체중
131,43,비만
142,52,비만
143,58,비만
156,73,비만
155,57,정상체중
141,40,정상체중
169,74,비만
129,78,비만
196,58,저체중
158,52,정상체중
161,61,정상체중
169,59,정상체중
132,62,비만
181,55,저체중
198,63,저체중
200,74,정상체중
185,62,저체중
127,63,비만
184,42,저체중
153,49,정상체중
180,76,정상체중
127,41,비만
124,44,비만
152,51,정상체중
130,42,정상체중
136,48,비만
189,77,정상체중
127,56,비만
162,36,저체중
138,73,비만
129,39,정상체중
126,56,비만
169,43,저체중
173,65,정상체중
175,62,정상체중
140,46,정상체중
176,49,저체중
130,75,비만
161,70,비만
129,45,비만
152,53,정상체중
162,64,정상체중
142,77,비만
145,35,저체중
188,40,저체중
133,56,비만
180,64,정상체중
124,78,비만
166,39,저체중
145,77,비만
185,42,저체중
180,48,저체중
159,76,비만
142,69,비만
138,58,비만
142,54,비만
172,46,저체중
172,79,비만
138,69,비만
139,58,비만
129,59,비만
138,57,비만
179,40,저체중
171,53,저체중
137,64,비만
174,77,비만
162,74,비만
134,78,비만
129,51,비만
191,54,저체중
130,37,정상체중
158,47,정상체중
183,75,정상체중
165,58,정상체중
128,77,비만
125,60,비만
180,77,정상체중
134,53,비만
192,80,정상체중
136,35,정상체중
129,45,비만
156,60,정상체중
169,61,정상체중
188,48,저체중
134,69,비만
144,70,비만
153,61,비만
167,77,비만
178,43,저체중
168,61,정상체중
190,70,정상체중
121,70,비만
120,66,비만
177,75,정상체중
129,44,비만
168,66,정상체중
152,58,비만
193,50,저체중
177,53,저체중
191,60,저체중
138,69,비만
131,74,비만
180,78,정상체중
123,70,비만
167,43,저체중
162,80,비만
138,42,정상체중
181,48,저체중
159,50,정상체중
164,48,저체중
141,76,비만
133,41,정상체중
137,45,정상체중
154,59,정상체중
142,78,비만
121,49,비만
165,77,비만
179,80,정상체중
143,50,정상체중
195,57,저체중
150,68,비만
197,47,저체중
192,41,저체중
171,56,정상체중
120,45,비만
165,77,비만
166,79,비만
139,38,정상체중
154,52,정상체중
154,58,정상체중
200,42,저체중
134,77,비만
122,40,비만
165,55,정상체중
196,37,저체중
177,42,저체중
133,48,비만
157,38,저체중
164,64,정상체중
198,57,저체중
159,62,정상체중
175,68,정상체중
157,59,정상체중
165,60,정상체중
157,49,정상체중
170,52,저체중
125,72,비만
129,78,비만
170,70,정상체중
141,60,비만
141,65,비만
147,42,정상체중
142,55,비만
150,38,저체중
160,70,비만
170,66,정상체중
192,57,저체중
152,35,저체중
147,48,정상체중
157,62,비만
171,48,저체중
166,43,저체중
127,37,정상체중
186,73,정상체중
167,79,비만
189,64,저체중
196,42,저체중
200,70,저체중
130,46,비만
199,37,저체중
170,50,저체중
142,35,저체중
167,74,비만
135,56,비만
175,39,저체중
187,51,저체중
163,56,정상체중
180,52,저체중
170,64,정상체중
195,78,정상체중
139,50,비만
151,70,비만
200,62,저체중
143,73,비만
182,49,저체중
129,77,비만
196,36,저체중
126,38,정상체중
159,35,저체중
140,68,비만
134,61,비만
144,35,저체중
174,57,정상체중
126,56,비만
161,70,비만
137,53,비만
122,64,비만
181,59,저체중
144,70,비만
138,62,비만
136,45,정상체중
137,60,비만
135,49,비만
161,71,비만
174,42,저체중
182,64,정상체중
132,79,비만
191,52,저체중
197,41,저체중
200,35,저체중
142,56,비만
123,47,비만
184,36,저체중
177,79,비만
166,78,비만
169,47,저체중
164,40,저체중
200,44,저체중
192,40,저체중
152,56,정상체중
191,67,저체중
196,59,저체중
194,74,정상체중
159,59,정상체중
179,65,정상체중
182,74,정상체중
182,75,정상체중
157,56,정상체중
183,42,저체중
198,40,저체중
145,80,비만
132,37,정상체중
141,39,정상체중
178,39,저체중
136,58,비만
179,60,정상체중
180,35,저체중
159,67,비만
194,40,저체중
169,78,비만
135,66,비만
126,64,비만
189,79,정상체중
173,66,정상체중
160,35,저체중
131,79,비만
155,40,저체중
134,49,비만
176,45,저체중
198,73,정상체중
158,78,비만
197,61,저체중
141,51,비만
179,80,정상체중
184,44,저체중
150,38,저체중
170,62,정상체중
183,55,저체중
189,62,저체중
181,50,저체중
145,78,비만
192,36,저체중
124,67,비만
169,57,정상체중
178,76,정상체중
165,75,비만
176,35,저체중
155,55,정상체중
126,47,비만
138,46,정상체중
168,78,비만
152,70,비만
200,50,저체중
160,79,비만
158,54,정상체중
150,65,비만
144,66,비만
164,42,저체중
169,39,저체중
169,70,정상체중
185,60,저체중
165,68,정상체중
135,75,비만
156,45,저체중
161,47,저체중
164,49,저체중
195,61,저체중
199,38,저체중
168,47,저체중
127,53,비만
193,71,정상체중
185,44,저체중
170,73,비만
146,52,정상체중
160,45,저체중
186,73,정상체중
129,54,비만
179,39,저체중
146,42,정상체중
151,53,정상체중
177,50,저체중
152,49,정상체중
165,63,정상체중
145,42,정상체중
133,66,비만
139,40,정상체중
134,47,비만
178,57,저체중
176,73,정상체중
157,39,저체중
145,52,정상체중
198,40,저체중
188,61,저체중
174,45,저체중
155,65,비만
155,80,비만
173,76,비만
126,39,정상체중
173,46,저체중
150,46,정상체중
161,65,비만
186,76,정상체중
199,71,저체중
192,68,저체중
188,61,저체중
178,51,저체중
200,72,저체중
136,66,비만
159,53,정상체중
149,43,정상체중
123,47,비만
198,78,정상체중
182,49,저체중
147,79,비만
180,40,저체중
196,56,저체중
126,48,비만
152,63,비만
120,68,비만
146,77,비만
160,80,비만
146,65,비만
120,78,비만
134,46,비만
164,41,저체중
125,53,비만
155,43,저체중
153,69,비만
181,60,저체중
155,65,비만
147,47,정상체중
127,43,비만
191,62,저체중
155,72,비만
143,77,비만
167,65,정상체중
191,54,저체중
164,66,정상체중
199,41,저체중
133,52,비만
168,75,비만
148,60,비만
197,61,저체중
142,35,저체중
126,35,정상체중
198,79,정상체중
147,36,저체중
185,46,저체중
179,54,저체중
124,38,정상체중
157,65,비만
130,76,비만
197,62,저체중
165,69,비만
144,39,정상체중
168,37,저체중
156,42,저체중
170,41,저체중
170,57,정상체중
130,70,비만
181,48,저체중
167,78,비만
169,57,정상체중
171,45,저체중
183,63,정상체중
183,38,저체중
173,65,정상체중
161,67,비만
200,58,저체중
168,46,저체중
146,48,정상체중
147,43,정상체중
132,35,정상체중
124,55,비만
193,75,정상체중
161,64,정상체중
180,74,정상체중
124,42,비만
133,51,비만
146,58,비만
162,38,저체중
143,45,정상체중
192,41,저체중
161,45,저체중
156,53,정상체중
135,74,비만
133,78,비만
156,50,정상체중
169,71,정상체중
123,61,비만
138,53,비만
141,57,비만
124,78,비만
200,75,정상체중
129,53,비만
188,68,정상체중
152,49,정상체중
166,74,비만
171,45,저체중
183,48,저체중
190,49,저체중
136,60,비만
169,46,저체중
151,54,정상체중
195,73,정상체중
168,77,비만
167,36,저체중
191,64,저체중
136,51,비만
175,78,비만
171,71,정상체중
184,50,저체중
185,38,저체중
189,36,저체중
140,40,정상체중
185,63,저체중
165,49,저체중
154,77,비만
166,48,저체중
187,67,정상체중
173,45,저체중
132,61,비만
170,50,저체중
175,68,정상체중
169,52,저체중
153,38,저체중
166,41,저체중
170,47,저체중
135,44,정상체중
156,38,저체중
192,62,저체중
189,76,정상체중
188,53,저체중
139,46,정상체중
194,78,정상체중
170,47,저체중
182,55,저체중
120,49,비만
187,72,정상체중
183,36,저체중
160,79,비만
171,70,정상체중
168,68,정상체중
133,59,비만
148,54,정상체중
194,38,저체중
142,59,비만
170,60,정상체중
127,60,비만
187,63,저체중
125,63,비만
156,54,정상체중
184,35,저체중
130,72,비만
193,46,저체중
163,63,정상체중
192,45,저체중
142,37,저체중
155,63,비만
189,52,저체중
188,44,저체중
178,72,정상체중
187,60,저체중
183,58,저체중
189,69,정상체중
120,76,비만
174,53,저체중
152,68,비만
150,37,저체중
145,60,비만
171,67,정상체중
171,77,비만
155,57,정상체중
135,72,비만
194,37,저체중
141,47,정상체중
150,73,비만
144,54,비만
164,73,비만
179,64,정상체중
173,66,정상체중
178,55,저체중
183,80,정상체중
158,43,저체중
171,72,정상체중
173,52,저체중
152,51,정상체중
140,71,비만
186,63,저체중
193,75,정상체중
157,73,비만
189,46,저체중
160,68,비만
131,35,정상체중
166,73,비만
135,65,비만
184,62,저체중
167,76,비만
160,44,저체중
147,59,비만
199,74,정상체중
185,70,정상체중
155,40,저체중
154,58,정상체중
184,51,저체중
147,78,비만
168,58,정상체중
159,44,저체중
190,80,정상체중
139,77,비만
120,55,비만
181,41,저체중
181,53,저체중
124,57,비만
132,61,비만
152,38,저체중
155,58,정상체중
144,53,비만
161,38,저체중
145,77,비만
172,70,정상체중
171,69,정상체중
188,41,저체중
159,80,비만
195,59,저체중
196,69,저체중
143,59,비만
167,67,정상체중
178,40,저체중
149,70,비만
127,61,비만
128,38,정상체중
124,39,비만
145,40,정상체중
134,50,비만
186,72,정상체중
198,80,정상체중
175,79,비만
153,58,정상체중
186,66,정상체중
184,72,정상체중
177,76,정상체중
120,57,비만
134,48,비만
134,48,비만
146,56,비만
183,58,저체중
140,63,비만
159,69,비만
126,48,비만
124,62,비만
200,66,저체중
180,39,저체중
150,40,저체중
160,72,비만
181,61,정상체중
191,79,정상체중
196,73,정상체중
175,51,저체중
177,63,정상체중
161,44,저체중
193,43,저체중
161,38,저체중
140,54,비만
158,38,저체중
135,73,비만
161,64,정상체중
183,44,저체중
183,54,저체중
200,44,저체중
170,46,저체중
154,39,저체중
135,78,비만
168,38,저체중
130,48,비만
181,38,저체중
199,52,저체중
154,79,비만
153,53,정상체중
150,47,정상체중
190,63,저체중
195,62,저체중
132,80,비만
183,52,저체중
191,70,정상체중
194,40,저체중
171,67,정상체중
196,41,저체중
196,39,저체중
166,39,저체중
185,66,정상체중
172,74,비만
122,35,정상체중
155,65,비만
149,44,정상체중
164,64,정상체중
132,45,비만
161,72,비만
157,66,비만
148,56,비만
175,58,정상체중
174,49,저체중
186,77,정상체중
132,52,비만
186,46,저체중
182,48,저체중
151,63,비만
169,77,비만
173,80,비만
174,75,정상체중
137,35,정상체중
186,53,저체중
180,45,저체중
173,63,정상체중
193,43,저체중
191,64,저체중
140,52,비만
179,45,저체중
125,76,비만
149,67,비만
194,38,저체중
139,78,비만
193,69,정상체중
158,63,비만
151,38,저체중
198,45,저체중
123,39,비만
153,72,비만
135,47,비만
190,54,저체중
163,60,정상체중
169,74,비만
152,60,비만
136,46,정상체중
197,77,정상체중
145,55,비만
187,80,정상체중
164,46,저체중
139,73,비만
157,47,정상체중
169,38,저체중
195,35,저체중
167,64,정상체중
125,59,비만
126,68,비만
168,72,비만
171,53,저체중
185,58,저체중
159,48,정상체중
145,57,비만
200,77,정상체중
191,50,저체중
189,40,저체중
164,80,비만
157,36,저체중
160,74,비만
183,38,저체중
134,65,비만
188,38,저체중
150,48,정상체중
166,70,비만
184,68,정상체중
177,80,비만
180,39,저체중
126,53,비만
121,40,비만
167,49,저체중
131,70,비만
132,50,비만
182,61,저체중
182,78,정상체중
168,63,정상체중
133,79,비만
154,75,비만
144,35,저체중
177,41,저체중
168,75,비만
173,54,저체중
156,71,비만
184,69,정상체중
191,62,저체중
138,48,비만
171,42,저체중
146,56,비만
145,79,비만
132,80,비만
128,80,비만
156,38,저체중
125,50,비만
162,62,정상체중
175,65,정상체중
197,53,저체중
133,47,비만
177,63,정상체중
148,48,정상체중
141,37,정상체중
144,53,비만
160,49,정상체중
194,53,저체중
153,78,비만
200,46,저체중
140,74,비만
168,72,비만
173,67,정상체중
196,74,정상체중
138,42,정상체중
163,67,비만
200,55,저체중
141,47,정상체중
183,42,저체중
183,40,저체중
200,61,저체중
143,52,비만
166,39,저체중
145,39,정상체중
166,45,저체중
167,51,저체중
138,66,비만
123,60,비만
134,61,비만
158,49,정상체중
178,49,저체중
139,42,정상체중
191,73,정상체중
129,51,비만
144,63,비만
121,70,비만
134,39,정상체중
167,71,비만
196,53,저체중
128,47,비만
146,76,비만
162,68,비만
192,48,저체중
193,76,정상체중
192,63,저체중
187,79,정상체중
169,47,저체중
157,50,정상체중
129,72,비만
164,52,정상체중
200,39,저체중
165,61,정상체중
154,67,비만
171,41,저체중
156,71,비만
137,60,비만
126,77,비만
123,59,비만
162,70,비만
128,48,비만
187,59,저체중
123,74,비만
140,50,비만
193,71,정상체중
125,60,비만
120,39,비만
124,71,비만
174,53,저체중
178,42,저체중
174,64,정상체중
192,48,저체중
153,80,비만
141,63,비만
196,66,저체중
122,40,비만
129,64,비만
178,76,정상체중
148,63,비만
171,54,저체중
195,77,정상체중
159,40,저체중
194,51,저체중
155,50,정상체중
150,68,비만
132,51,비만
147,49,정상체중
123,42,비만
147,55,비만
140,39,정상체중
176,75,정상체중
196,52,저체중
135,54,비만
172,36,저체중
140,39,정상체중
169,78,비만
181,47,저체중
166,75,비만
136,78,비만
171,40,저체중
141,62,비만
197,62,저체중
144,57,비만
121,67,비만
191,41,저체중
122,35,정상체중
164,36,저체중
130,75,비만
155,60,정상체중
159,40,저체중
160,54,정상체중
153,35,저체중
172,60,정상체중
178,73,정상체중
198,47,저체중
158,69,비만
138,80,비만
172,36,저체중
188,66,정상체중
